gdp;mining;ind;eletco;eletin;eletot;eletho;constr;retail;rtailb;export;import;diesel;truckt;jobrtl;jobtrs;jobacc;jobhlt;jobedc;credit
113.58;68.6;74.3;144.3562306;106.5433074;123.5729614;117.9302255;70.93759268;44.3;44.3;60.33;63.29;106.0402685;104.4054262;116.6410941;102.7267872;107.3266727;110.2173157;112.5532811;114.7840976
113.58;63.5;72.3;143.355195;107.8409832;123.0579399;113.2727984;70.06135365;42.8;42.7;61.9;65.22;118.5043145;100.6704436;116.9595913;103.015482;107.5895462;110.4232297;115.0011757;109.3351449
113.58;71.9;77.8;145.7024508;108.8090906;124.7961373;115.0106443;70.65054886;44.2;42.8;63.68;62.64;108.7248322;110.2280543;117.027018;103.0246918;107.4307003;110.5362349;116.3796897;113.5870251
116.31;69.1;77;136.2789092;111.7443098;121.0622318;108.2330451;68.25599909;44.9;43.7;70.66;68.44;116.5867689;111.0289329;117.3774384;103.4903765;107.6557125;110.7742836;117.2082876;119.5238985
116.31;73.1;80.1;135.9337245;110.7144083;123.8304721;110.422731;70.68831779;46.9;45.6;78.59;66.95;122.7229147;116.0949543;117.7767355;104.0650181;107.6994426;110.9464126;117.7629175;119.3269119
116.31;66.3;76.9;128.0980324;111.1057709;124.6030043;107.1382022;65.49131387;44;43;72.05;61.37;117.7372963;110.1008543;118.037685;104.5734835;107.9008759;111.2154309;117.6869305;112.7248299
120.25;70.5;82;126.5792199;111.4147413;125.5364807;105.278707;70.89226997;46.5;46.2;74.23;70.26;126.5580058;118.5957399;118.308729;104.9432832;107.8996295;111.3912491;117.1311693;119.3996454
120.25;73.3;82.2;128.4086987;111.157266;126.8562232;107.3119868;71.3757122;47.3;46.2;78.43;64.38;125.7909875;116.9378449;118.6289087;105.3390781;108.1474156;111.5060988;118.7233143;111.8959709
120.25;70.9;86.6;127.2350708;111.7958049;128.2725322;105.92171;73.41523408;45.1;46.3;88.59;79.36;134.611697;117.7269614;119.5066636;106.0768208;108.5113564;111.759875;119.3950358;122.868125
119.94;73;91.1;138.108388;115.5034502;132.6502146;110.8398141;78.40828581;48.8;49.3;91.32;87.5;138.6385427;124.3884683;120.0960323;106.4378564;108.7368881;111.9457899;119.6272393;126.5745039
119.94;69.7;85.5;140.697273;115.8742147;131.1373391;110.9614633;74.70693128;49;48.8;72;72.57;124.8322148;115.6687423;120.7870804;106.6066764;109.0784964;112.2794658;119.5666194;118.6298824
119.94;70.5;78.3;145.6334139;118.7579388;129.7854077;111.3437894;66.68481186;66;61.8;79.79;67.38;120.2301055;116.3745977;119.9706696;105.7399978;108.7259296;112.2095657;116.6760014;139.6528995
117.98;68.5;77.3;145.6334139;106.8522778;129.2381974;117.8954686;69.00382378;47;47.2;68.29;71.31;109.8753595;108.6726009;120.8364317;106.1440368;109.0251063;112.4570315;116.0992165;119.12841
117.98;66.3;74.5;142.6303072;108.2220468;123.5407725;111.708737;67.26645329;45;44.8;66.94;61.49;112.1764142;104.5153513;121.2160573;106.5814983;109.3630272;112.7308069;118.1270141;111.8959709
