gdp;mining;ind;eletco;eletin;eletot;eletho;constr;retail;rtailb;export;import;diesel;truckt;jobrtl;jobtrs;jobacc;jobhlt;jobedc;credit
0.038007684;-0.001458789;0.039583004;0.008808532;0.002895755;0.044825431;-0.000294768;-0.027638594;0.059162925;0.063409216;0.123933851;0.119309231;0.035527715;0.040058052;0.035336179;0.032724097;0.01570099;0.020117192;0.031018421;0.037149035
0.038007684;0.043149991;0.029974996;-0.005069413;0.003527341;0.003915943;-0.013904133;-0.040709692;0.050124387;0.048009219;0.078276516;-0.05889161;-0.05487661;0.037481716;0.035746049;0.034030646;0.016349385;0.02068221;0.026818085;0.023151719
0.038007684;-0.005578815;0.122058374;-0.007610025;0.022277222;0.008987093;-0.003481423;0.08541525;0.105134246;0.173324821;0.362468431;0.333091231;0.196332294;0.130020527;0.03955211;0.041768279;0.015898615;0.022031718;0.027985037;0.217286059
0.061195954;0.008645587;0.075035186;0.113835143;0.005881289;0.047003329;0.088602382;0.04838957;0.097534875;0.114472196;0.050500453;0.091130584;0.114854776;0.063729277;0.041478166;0.047049874;0.016030401;0.023150207;0.027512947;0.104740387
0.061195954;-0.020733293;0.086074609;0.041776338;0.111000396;-0.018098855;0.019172904;0.041035693;0.101301115;0.119730456;0.105907509;0.147750213;-0.020521636;0.045389643;0.044229342;0.049922074;0.018811442;0.026210331;0.027616444;0.13312178
0.061195954;0.089396665;0.123402242;0.034170985;0.129374638;-0.023524347;0.020072934;0.114831099;0.121815299;0.156804961;0.345846226;0.321840231;0.093235183;0.085536188;0.047627293;0.052602539;0.019223184;0.026773453;0.027188982;0.202280032
0.063550507;0.072485583;0.104140259;0.058263763;0.137855088;-0.028082969;0.038058192;0.101057183;0.113712636;0.124016573;0.251015014;0.205163344;0.051672011;0.057718757;0.052069206;0.054473564;0.022835118;0.028016503;0.027705413;0.158245053
0.063550507;0.072352388;0.123444191;0.039013909;0.161443581;-0.031707773;0.02067547;0.131690881;0.065463041;0.114410351;0.226224355;0.294416105;0.108252671;0.103353897;0.057831302;0.057914712;0.024882052;0.031057431;0.025606616;0.24504297
0.063550507;0.062862223;0.073447906;0.111553993;0.150022938;-0.004275123;0.080206763;0.089126982;0.087011377;0.092754393;0.087594418;0.111039922;0.060792196;0.073422265;0.057695224;0.058279226;0.025640622;0.03121535;0.024039287;0.139430516
0.060261629;0.061107986;0.03664203;0.045917712;0.122931497;0.007012482;0.034972369;0.02793;0.080673026;0.070479258;0.042135192;-0.021252821;-0.020965128;0.003722382;0.059248168;0.061127073;0.026198282;0.03285422;0.023923932;0.154950737
0.060261629;0.05851251;0.08300727;0.038031057;0.109741625;-0.023846137;0.037804133;0.021110283;0.05942342;0.088206018;0.186940503;0.225318393;0.088162788;0.055393315;0.061624881;0.064790953;0.025894388;0.032902919;0.023839683;0.262632465
0.060261629;0.064538521;0.085626852;0.042006408;0.079008171;0.008888947;0.036172526;0.067768742;0.107630664;0.10146946;0.215822672;0.237232027;0.0588405;0.064390137;0.063420878;0.067314505;0.026227178;0.033499731;0.024265433;0.15432272
0.041018619;0.07181128;0.052909065;0.061363303;0.15198655;0.023385681;0.049604074;0.025506624;0.059873401;0.071532018;0.138825598;0.096571479;-0.001746725;0.027843421;0.065115209;0.071362325;0.026976973;0.035427353;0.025140261;0.231811263
0.041018619;0.014970339;0.033006296;0.053710506;0.134601433;0.033310792;0.051394409;0.002355449;0.019802627;0.008888947;0.196683618;0.181535212;0.096086879;0.031542815;0.066067068;0.071215227;0.025146659;0.035571396;0.026506304;0.237190279
