DATE,GDP,Income,Employment,Industry,Sales,CODACE
2004Q1,102.0133333,102.0133333,96.97,86.13333333,38.71333333,0
2004Q2,106.3233333,106.3233333,97.48,91.2,40.89333333,0
2004Q3,106.6966667,106.6966667,101.2466667,91.7,41.01,0
2004Q4,107.9266667,107.9266667,104.3033333,93.23333333,43.05666667,0
2005Q1,108.39,108.39,103.6266667,92.56666667,44.43666667,0
2005Q2,110.75,110.75,104.8633333,92.63333333,46.28666667,0
2005Q3,111.4466667,111.4466667,108.21,92.96666667,47.96666667,0
2005Q4,112.15,112.15,111.8133333,93.9,49.71,0
2006Q1,113.8133333,113.8133333,110.8966667,96.2,50.76666667,0
2006Q2,114.9433333,114.9433333,112.05,96.03333333,51.92,0
2006Q3,116.9833333,116.9833333,115.6966667,96.4,54.52666667,0
2006Q4,118.24,118.24,118.8066667,97.06666667,57.08333333,0
2007Q1,118.55,118.55,117.58,97.7,57.41666667,0
2007Q2,119.0533333,119.0533333,118.9633333,97.16666667,60.43333333,0
2007Q3,121.38,121.38,122.62,99.06666667,61.51333333,0
2007Q4,124.21,124.21,126.39,101.7,63.93666667,0
2008Q1,124.6566667,124.6566667,126.0533333,103,64.2,0
2008Q2,125.7966667,125.7966667,126.73,100.2333333,66.58666667,0
2008Q3,127.4733333,127.4733333,131.3066667,100.5666667,68.43333333,0
2008Q4,125.1666667,125.1666667,134.3466667,96.63333333,65.09666667,1
2009Q1,125.1533333,125.1533333,132.7166667,94.26666667,67.70333333,1
2009Q2,126.81,126.81,132.34,88.56666667,71.52666667,0
2009Q3,128.95,128.95,136.8633333,95.03333333,73.45666667,0
2009Q4,130.9166667,130.9166667,142.5,101.4,73.88666667,0
2010Q1,134.5766667,134.5766667,144.1,105.4,79.16666667,0
2010Q2,135.8033333,135.8033333,146.5233333,104.2666667,78.22666667,0
2010Q3,136.4333333,136.4333333,151.9366667,103.6,81.71,0
2010Q4,138.4433333,138.4433333,157.1366667,100.3,85.02333333,0
2011Q1,139.4,139.4,157.5166667,98.26666667,84.93,0
2011Q2,140.1666667,140.1666667,158.74,99.4,86.34,0
2011Q3,141.4733333,141.4733333,163.08,99,86.45333333,0
2011Q4,141.9533333,141.9533333,166.8566667,97.4,86.43,0
2012Q1,141.5066667,141.5066667,166.7833333,99.8,90.06666667,0
2012Q2,143.3066667,143.3066667,167.2466667,97.6,94.38333333,0
2012Q3,144.3033333,144.3033333,170.32,98.53333333,96.75,0
2012Q4,146.3733333,146.3733333,172.83,103.2,95.90333333,0
2013Q1,146.9,146.9,171.38,103.5333333,94.60666667,0
2013Q2,146.2966667,146.2966667,171.71,105.1666667,97.41666667,0
2013Q3,147.63,147.63,174.3866667,103.4666667,99.64,0
2013Q4,148.6833333,148.6833333,178.2666667,101.7666667,99.81333333,0
2014Q1,150.39,150.39,178.1466667,107.2666667,99.54666667,0
2014Q2,150.0533333,150.0533333,177.8066667,102.0666667,100.13,1
2014Q3,150.1133333,150.1133333,179.8033333,102.7,99.44333333,1
2014Q4,149.72,149.72,181.7333333,102.7333333,101.07,1
2015Q1,148.85,148.85,179.6066667,102.4666667,96.32,1
2015Q2,147.0466667,147.0466667,177.1933333,100.7666667,92.56,1
2015Q3,145,145,176.35,101.3333333,87.94,1
2015Q4,143.1233333,143.1233333,175.5666667,98.1,85.33666667,1
2016Q1,141.22,141.22,171.8,97.3,83.34666667,1
2016Q2,138.0933333,138.0933333,169.24,99.03333333,80.95666667,1
2016Q3,137.93,137.93,169.01,96.93333333,78.73333333,1
2016Q4,137.9866667,137.9866667,168.83,96.9,79.60666667,1
2017Q1,138.9533333,138.9533333,165.7733333,97.7,81.62,0
2017Q2,140.3,140.3,165.0866667,96.5,82.79666667,0
2017Q3,139.9633333,139.9633333,166.2133333,97.93333333,83.66666667,0
2017Q4,140.1833333,140.1833333,167.8533333,98.3,83.5,0
2018Q1,141.46,141.46,166.6666667,97.1,85.16,0
2018Q2,141.09,141.09,166.78,96.43333333,85.32333333,0
2018Q3,142.54,142.54,168.57,101.2,85.13333333,0
2018Q4,142.0333333,142.0333333,170.3033333,96.16666667,84.90666667,0
2019Q1,142.5166667,142.5166667,168.42,94.36666667,84.93666667,0
2019Q2,142.65,142.65,168.5766667,95.3,85.95,0
2019Q3,142.0733333,142.0733333,170.06,93.26666667,85.80333333,0
2019Q4,143.5933333,143.5933333,172.0766667,97.13333333,87.48333333,0
