DATE,fbcf,ibc,ibcAgropec,ibcIndustria,ibcServicos,pimTotal,pimIE,pimIT,pimBI,pimBK,pimDur,pimNDur,pimCC,pmcAmp,pmcR,pmcVeic,pmcConstr,pmsTotal,pmsTransp,pmsInfo,pmsFam,epeRes,epeCom,epeInd,ons,onsGerTerm,onsGerExTermica,expQ,impQ,impBI,impConsumo,expBasic,expSemi,expManuf,expAgroDolar,abpo,abcr,anfaveaProd,anfaveaLic,fgvIndIC,fgvIndEstoq,fgvConsIC,cniHoras,cniNuci,cniFatura,diesel,ipcaMs,ipa,cambio,icbr,txDesemp,credPJ,credPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-96,,,,,,,,,,,,,,,,,,,,,,5851.0000,2951.0000,8753.0000,,,,34.4600,52.1600,,,22.8200,53.7600,33.5600,115.9140,,,100946.0000,105226.0000,,,,,,,,,100.0000,0.9786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-96,,,,,,,,,,,,,,,,,,,,,,5742.0000,3007.0000,9278.0000,,,,33.8100,51.1700,,,21.5600,45.5300,36.2500,109.4380,,,121248.0000,123172.0000,,,,,,,,,100.0300,0.9842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-96,92.9111,,,,,,,,,,,,,,,,,,,,,5845.0000,2956.0000,9204.0000,,,,34.0200,59.0700,,,21.9200,42.5500,36.2600,180.2097,,,136019.0000,140737.0000,,,,,,,,,99.8800,0.9880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,,,,,,,,,,,,,,,,,,,,,,5876.0000,3041.0000,9539.0000,,,,42.0800,61.8300,,,37.3100,55.5100,39.8600,379.7159,,,130698.0000,136759.0000,,,,,,,,,100.2495,0.9925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-96,,,,,,,,,,,,,,,,,,,,,,5676.0000,2885.0000,9623.0000,,,,44.3500,64.4300,,,38.0600,58.8600,42.2300,329.6451,,,142309.0000,151333.0000,,,,,,,,,100.4801,0.9984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-96,101.1807,,,,,,,,,,,,,,,,,,,,,5628.0000,2797.0000,9833.0000,,,,37.8700,63.3200,,,35.1800,52.7200,34.4300,287.6253,,,121143.0000,129247.0000,,,,,,,,,100.8720,1.0044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-96,,,,,,,,,,,,,,,,,,,,,,5547.0000,2647.0000,9655.0000,,,,44.0600,75.8000,,,38.1600,63.7300,41.0100,332.1776,,,153931.0000,155654.0000,,,,,,,,,101.0031,1.0112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-96,,,,,,,,,,,,,,,,,,,,,,5679.0000,2796.0000,10390.0000,,,,43.5500,72.5400,,,38.0300,62.1400,40.9000,351.0294,,,161906.0000,166051.0000,,,,,,,,,101.4475,1.0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-96,105.2596,,,,,,,,,,,,,,,,,,,,,5769.0000,2813.0000,10187.0000,,,,40.9900,72.7800,,,34.2700,62.1900,38.2400,266.9427,,,146060.0000,161595.0000,,,,,,,,,101.7823,1.0215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-96,,,,,,,,,,,,,,,,,,,,,,5836.0000,2881.0000,10031.0000,,,,42.0500,85.4500,,,35.7700,60.6500,39.7700,337.3441,,,148219.0000,162308.0000,,,,,,,,,101.9858,1.0276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
