DATE,GDP,epeRes,epeCom,epeInd,expQ,impQ,expBasic,expSemi,expManuf,expAgroDolar,anfaveaProd,anfaveaLic,cagedTransf,cagedConstr,cagedCom,cagedServ,ipa,cambio,poup,m1,m2,ibov,embi,RecRFBIPCA
1/1/1996,96.83968362,5851,2951,8753,34.46,52.16,22.82,53.76,33.56,115.914,100946,105226,5982.422,2015.581,4730.099,10299.511,100,0.9786,64902724,23481820,175037084,48309,760,42102.3331
2/1/1996,96.83968362,5742,3007,9278,33.81,51.17,21.56,45.53,36.25,109.438,121248,123172,5951.516,2017.003,4720.066,10308.072,100.03,0.9842,65233099,23095259,174828178,52663.10526,863,38945.85196
3/1/1996,96.83968362,5845,2956,9204,34.02,59.07,21.92,42.55,36.26,180.2097,136019,140737,5922.355,2020.226,4710.568,10306.57,99.879955,0.988,65267819,22985492,175383395,49296.71429,840,54428.61606
4/1/1996,100.1194675,5876,3041,9539,42.08,61.83,37.31,55.51,39.86,379.7159,130698,136759,5934.785,2030.111,4716.401,10331.354,100.2495108,0.9925,65114540,23276407,173647972,50170.85,763,41601.87886
5/1/1996,100.1194675,5676,2885,9623,44.35,64.43,38.06,58.86,42.23,329.6451,142309,151333,5970.066,2037.631,4727.189,10350.637,100.4800847,0.9984,64692969,22761723,172226628,54828,748,42501.10547
6/1/1996,100.1194675,5628,2797,9833,37.87,63.32,35.18,52.72,34.43,287.6253,121143,129247,5981.711,2042.088,4744.997,10357.414,100.871957,1.0044,64510539,23513221,173468300,57864.73684,687,41610.13048
7/1/1996,107.5617733,5547,2647,9655,44.06,75.8,38.16,63.73,41.01,332.1776,153931,155654,5978.544,2045.562,4743.8,10360.473,101.0030906,1.0112,64278981,23107137,172412324,62722.47826,681,43254.9929
8/1/1996,107.5617733,5679,2796,10390,43.55,72.54,38.03,62.14,40.9,351.0294,161906,166051,5971.993,2045.417,4743.645,10365.96,101.4475042,1.0169,64236000,23477144,173006068,62497.5,610,42751.98095
9/1/1996,107.5617733,5769,2813,10187,40.99,72.78,34.27,62.19,38.24,266.9427,146060,161595,5989.462,2044.441,4749.235,10375.149,101.7822809,1.0215,64726913,25143255,176993375,64349.85714,533,44733.30461
10/1/1996,104.3145295,5836,2881,10031,42.05,85.45,35.77,60.65,39.77,337.3441,148219,162308,5987.049,2038.292,4750.355,10359.381,101.9858455,1.0276,65754075,23171129,179182481,66273.09091,594,45014.37139
11/1/1996,104.3145295,5838,2997,10076,39.12,75.38,29.99,58.13,37.87,251.6394,141674,160074,5957.158,2026.043,4767.279,10339.256,102.3529946,1.0332,67558050,24383240,182157237,66118.3,546,44625.46792
12/1/1996,104.3145295,5764,2993,9947,38.24,88.31,25.65,51.78,40.19,207.0245,118982,138632,5863.864,1999.975,4741.078,10267.387,103.6733482,1.0394,72652001,29807483,188734369,68547.42857,523,65620.77718
1/1/1997,100.1327864,6522,3309,9455,37.48,40.21,26.22,61.55,36.69,211.6924,124889,134826,5851.775,2005.991,4717.885,10259.14,104.0465722,1.0461,77130334,33123796,189274171,76022.27273,437,45723.84349
2/1/1997,100.1327864,6176,3219,9840,31.31,67.61,19.87,40.72,33.73,228.1319,136323,146106,5849.377,2007.177,4713.449,10265.362,104.4107352,1.0515,78711825,36236904,192906132,86427.33333,419,43603.72506
3/1/1997,100.1327864,5993,3121,9488,37.82,75.95,32.87,44.16,37.18,447.5262,153164,169144,5852.238,2016.519,4723.645,10291.76,104.5673513,1.0593,80034278,37448610,195738732,9241,469,48348.07109
4/1/1997,104.8791493,6050,3134,9945,45.31,87.54,47.22,56.59,39.71,771.6228,172391,183864,5873.953,2030.934,4739.219,10315.162,104.9856207,1.0638,80883307,36298117,195848416,9596.190476,457,49700.87972
5/1/1997,104.8791493,6059,3100,10304,45.31,78.25,48.7,51.55,39.67,795.4549,162310,175250,5912.328,2037.877,4761.14,10338.347,105.1535977,1.0717,81791649,36860743,198244959,10597.9,404,45516.55724
6/1/1997,104.8791493,6069,2970,10045,47.05,84.06,46.76,55.5,42.99,640.8135,170685,179299,5923.126,2044.606,4787.152,10359.446,105.4795739,1.0769,82927443,37841978,205191931,11933.66667,392,45764.80905
7/1/1997,109.4885052,5981,2956,10285,51.51,95.52,51.13,63.7,46.72,738.6537,160400,172335,5911.152,2047.124,4788.526,10357.775,106.0491636,1.0834,83626270,35906316,204296617,12750.73913,375,49200.0653
8/1/1997,109.4885052,6025,3072,10685,49.79,88.21,40.99,62.21,50.3,586.7688,173863,179897,5899.796,2047.622,4795.644,10371.721,106.0809783,1.0916,85063780,37775700,209695447,11636.95238,387,45919.49297
9/1/1997,109.4885052,6151,3151,10441,45.15,90.2,32.99,59.22,46.59,389.7076,182952,187828,5916.161,2055.004,4803.924,10389.463,106.2719241,1.0964,86591725,39116753,217061918,11395.40909,360,47747.07513
10/1/1997,108.214347,6335,3303,10567,47.95,92.71,31.49,59.07,52.51,337.8737,192829,189022,5904.34,2056.921,4818.048,10402.329,106.4844679,1.1031,88145782,39284420,222660888,11898.04348,677,50100.31083
11/1/1997,108.214347,6398,3434,10727,39.32,86.37,24.06,48.87,43.97,233.7654,130140,128669,5857.474,2050.109,4833.662,10399.716,106.8145698,1.1098,93941895,40023882,230699363,9168.2,572,47916.91653
12/1/1997,108.214347,6330,3428,9935,44.99,85.51,24.12,63.75,50.29,228.012,101255,97218,5730.716,2013.471,4806.647,10328.525,106.9213844,1.1164,98211258,47362722,239775207,9725.772727,521,66687.36667
1/1/1998,101.1416992,7178,3735,9545,38.61,76.6,26.13,62,38.47,193.4679,110243,114705,5681.6,2022.156,4780.49,10310.964,107.19938,1.1237,100628943,42619626,241755357,9658.333333,546,55426.04724
2/1/1998,101.1416992,6518,3486,9722,37.38,65.89,21.25,47.3,42.84,228.1079,105964,109673,5651.489,2024.623,4769.576,10318.423,107.2958594,1.1304,98600976,42820595,243452578,10270.66667,495,48374.88288
3/1/1998,101.1416992,6650,3468,9609,43.33,87.64,30.15,52.78,46.63,299.0306,141749,153318,5633.969,2032.297,4759.879,10326.135,107.3924257,1.1374,98108163,41922152,244425419,11525.90909,443,53943.39417
4/1/1998,106.4624609,6675,3608,10400,47.52,79.54,44.57,55.8,44.9,630.2048,137785,143968,5644.839,2044.046,4770.177,10349.694,107.3065117,1.1443,97850781,42274904,242189887,11823.73684,467,50637.47262
5/1/1998,106.4624609,6591,3422,10367,48.37,80.72,48.49,49.97,45.51,617.7358,160231,154590,5658.122,2051.243,4782.639,10374.663,107.4352796,1.1505,98234213,42502086,243612653,10568.2,576,44999.4332
6/1/1998,106.4624609,6227,3193,10168,51.57,81.28,50.54,65.07,46.62,569.324,146151,143617,5657.011,2054.281,4783.528,10382.055,107.6286631,1.1569,99703658,44060070,247305992,9793.190476,663,45904.10301
7/1/1998,109.877846,6320,3161,10351,52.85,93.31,49.72,66.12,49.47,527.7122,126825,114405,5620.314,2059.273,4780.961,10391.889,107.39188,1.1634,101146464,43981738,247646602,10520.78261,608,51550.87327
8/1/1998,109.877846,6443,3352,10723,42.98,72.18,41.34,48.71,40.72,461.7544,134224,165523,5616.439,2064.109,4788.8,10408.686,107.1448787,1.1769,102317106,44308331,248168301,8428.095238,1421,52552.24785
9/1/1998,109.877846,6679,3481,10510,49.85,101.72,45.95,63.26,46.91,498.8101,134540,128466,5614.104,2052.483,4787.789,10413.413,106.8127296,1.1856,104162810,43933681,245774199,6388.52381,1326,49493.97321
10/1/1998,106.6619717,6711,3478,10425,44.4,94.05,35.94,60.74,43.38,351.4498,92855,101326,5597.582,2033.21,4791.406,10393.01,106.7272794,1.1932,105773764,43031345,247229516,6696.285714,1192,48950.87936
11/1/1998,106.6619717,6642,3538,10343,40.88,80.94,30.08,56.25,41.35,269.0176,79643,100166,5550.9,2005.909,4795.702,10368.478,106.4604612,1.2012,107168486,46117494,251309991,8255.7,975,45889.28125
12/1/1998,106.6619717,6705,3622,9815,43.4,75.81,31.08,63.34,44.02,269.1932,59650,105195,5430.047,1949.27,4748.751,10251.802,106.7053202,1.2087,108442384,50707266,254965130,7254.772727,1231,68079.94878
1/1/1999,101.918131,7190,3806,9257,33.21,62.63,24.53,55.99,31.16,201.3241,81902,93410,5412.111,1942.997,4738.776,10257.531,108.6473571,1.9832,109360150,49957188,254930105,7010.5,1507,50887.21143
