DATE,GDP,ibc,pimIE,pimIT,pimBI,pimBK,pimDur,pimNDur,pimCC,pmcR,pmcVeic,pmcConstr,pmsTransp,pmsInfo,pmsFam,epeRes,epeCom,epeInd,ons,onsGerTerm,onsGerExTermica,expQ,impQ,impBI,impConsumo,expBasic,expSemi,expManuf,expAgroDolar,abpo,abcr,anfaveaProd,anfaveaLic,fgvIndIC,fgvIndEstoq,fgvConsIC,cagedTransf,cagedConstr,cagedCom,cagedServ,cniHoras,cniNuci,cniFatura,diesel,ipcaMs,ipa,cambio,icbr,txDesemp,poup,m1,m2,ibov,embi,RecRFBIPCA
1/1/2011,160.4515748,133.27,99.4,92.8,94.2,96.1,96.2,89.1,89.7163016,81.7,90.2,77.3,80.6,79.7,102.7,9810,6250,14467,41973.24,1741.27282,40192.73254,79.89,150.57,147.41,340.79,96.4,89.28,67.44,1150.7116,247436.3925,139.7974397,239301,244873,106.6,108.5,110.3,7700.967,2955.887,8503.696,16425.966,101.4,81.6,105.4,721.6292932,188.3969587,367.5185966,1.6734,71.13063225,0.072015881,382043990,258333611.2,1362186067,69779.2,179,144604.9646
2/1/2011,160.4515748,136.21,90.7,95.7,93,109.1,107.6,91.3,91.95222189,75.9,97.7,75.4,80.9,79.3,89.8,9405,6331,14487,39748.31,1768.349161,37884.56408,87.05,156.32,141.88,354.54,103.46,86.72,76.39,1262.8127,245627.546,142.5412062,295946,274153,110.2,110.8,107.9,7756.688,2991.286,8522.908,16572.809,106.5,82.3,114.4,862.6172594,189.1128672,370.2014824,1.6612,75.65013243,0.074926854,383334105,255422666.2,1381616460,66515.7,177,103348.0341
3/1/2011,160.4515748,144.85,97,104.8,103.1,116.9,110.2,100.6,98.58444491,82.2,102.1,80.6,84,83.5,98.9,9508,6373,15188,42272.7,1591.5352,40641.86076,97.99,171.91,159.74,366.07,120.94,98.89,83.95,2494.2471,277988.8447,157.4368258,296322,306135,113.2,112.6,105.1,7770.793,2996.183,8519.137,16636.325,111,83.3,124.4,871.9704911,189.9827864,371.7563286,1.6287,76.60710997,0.078650139,385733263,253532344.4,1410109955,67213.7619,173,113226.0856
4/1/2011,166.3302313,140.05,96.5,97.6,98.4,104.3,97.4,93.2,90.53966414,82.9,96,76.2,83.7,82.5,98.6,9237,6298,15335,40334.9,1331.84596,38972.02349,97.92,170.17,151.56,409.6,135.15,90.84,74.28,3298.3604,261567.1174,150.8088896,283219,289189,113.6,112.6,100.5,7819.333,3030.083,8562.731,16750.319,108.3,82.9,114.4,857.7394508,191.0276917,373.9125153,1.5733,76.64781033,0.077402344,386122941,250062695.7,1417879016,67424.31579,169,130424.859
5/1/2011,166.3302313,143.22,101.7,107.4,107.2,118.3,106.2,102.9,101.3868991,84.8,107.7,91.1,89.1,84,96.1,9138,6002,15255,40359.61,2029.06259,38448.69,110.44,182.44,168.21,380.21,152.67,104.66,83.48,3420.4517,285419.1232,162.9101255,305251,318534,110.4,107.8,99.7,7860.129,3061.318,8589.18,16820.829,115.2,84,124.9,899.6118786,192.1929606,375.1090353,1.5799,71.99189822,0.073732004,387046563,251302875,1442969729,63730.45455,175,112860.264
6/1/2011,166.3302313,141.57,101.2,102.9,104.3,114.5,97.9,96.4,100.1405246,82.5,99.9,88.9,86.4,85.6,95.7,8868,5719,15387,38493.08,2554.90933,36534.50658,112.95,179.35,165.99,387.74,137.91,116.15,98.33,3008.7557,275184.2192,155.8893253,296050,304333,108.3,104.9,102.3,7881.66,3094.492,8621.123,16872.143,112.1,83.6,123.6,919.4085034,193.2115833,375.5966771,1.5611,71.33431555,0.073498332,389558700,255574936.9,1471543505,62298.7619,154,130526.8148
7/1/2011,169.4149318,145.14,104.2,106.2,106.8,114.2,101.4,102.9,101.0696401,85.3,100.5,90.9,89.9,84.9,103.8,9128,5654,15436,40103.95,2485.20966,38272.01774,105.28,177.49,168.18,406.45,135.24,116.28,83.27,2506.985,279015.0758,161.0237666,308798,306231,106.1,99.3,106.6,7904.3,3122.025,8651.463,16915.104,113.7,83.6,123.5,916.9442939,193.9651085,375.3337594,1.5563,70.84109747,0.072914808,398005681,254373019.3,1492180690,60431.38095,160,136891.8274
8/1/2011,169.4149318,146.97,104.3,111.2,108.7,126.2,112.9,108.7,105.6094647,85.7,105.8,95.2,92.6,87,99.8,9201,5879,15853,41871.27,2416.22222,39938.64546,122.01,204.57,189.76,433.54,158.91,137.23,94.25,3247.0104,287103.1166,167.6509057,326213,327610,104.4,92.9,104.1,7939.431,3156.204,8697.445,17007.369,117.7,84.6,131.3,986.7533624,194.973727,377.0602947,1.5872,69.94707661,0.073425659,402719240,250228287.7,1517982132,53841.13043,194,116878.4768
9/1/2011,169.4149318,142.16,101.4,105,104.2,113.6,95.9,105.5,104.1817994,83.6,102.3,93.1,88.3,88.3,97.9,9524,6113,15731,40575.2,2164.23081,38535.82197,109.09,189.23,173.65,377.31,141.92,117.86,85.76,2989.5451,273900.1615,162.9686208,261130,311648,103.2,91.8,101,8003.511,3183.315,8741.327,17099.486,113,84,131.1,1005.137357,196.0850773,379.3980685,1.8544,64.36044003,0.071397,409310509,257560429.7,1551453243,55398.85714,274,117293.9224
10/1/2011,167.7488732,141.7,102.7,106.5,104.8,113.6,100.7,108.3,105.0127157,87,97,91.2,88.5,87.3,102.5,9365,6156,15671,41837.7,2691.233449,39050.66619,104.3,186.07,163.81,391.29,137.04,105.39,83.12,2291.7222,287577.1521,162.9738174,270949,280567,103.1,98.1,106.5,8008.27,3195.929,8803.864,17173.881,111.8,84.2,129.9,944.0615446,197.1831537,382.6988317,1.6885,68.54604679,0.068497083,412717601,255383754,1558711260,54668.85,227,133182.8124
11/1/2011,167.7488732,141.9,102.6,104.3,100.8,116,101.5,107.4,102.0289708,87.9,105.2,95.5,87.5,89.2,105.6,9303,6208,15484,40884,2620.14807,38144.68414,105.29,197.98,168.86,584.51,132.78,119.41,84.15,2165.5409,286826.0038,159.2945031,273358,321560,98.9,94.7,108.1,7953.929,3175.011,8912.384,17225.936,110.3,83.7,128.6,952.4201349,198.2479427,383.7321186,1.8109,63.49329063,0.066766187,414983459,263610827.4,1589247991,57093,224,122018.6746
12/1/2011,167.7488732,142.36,104.2,95.1,94.1,108.3,88.9,96.2,94.53561627,119,111.6,84.2,92.2,96.4,113.8,9483,6498,15282,42811,2598.52917,40064.79793,109.7,170.43,147.49,444.82,144.58,98.47,91.43,1868.6904,258745.2356,157.5343272,261245,348415,96.5,94.1,108.8,7812.776,3095.329,8901.355,17124.541,102.2,80.4,123.5,869.8558156,199.4176056,381.5064723,1.8758,60.5714895,0.065058285,420872648,286644699.5,1636222970,57407.85714,208,149095.4781
1/1/2012,163.1906661,134.31,92.4,88.2,90.2,79.8,86.8,88.2,93.5,88,97.3,88.4,81,84.7,106.2,9800,6466,14567,43141,1879.60416,41081.24536,81.92,164.09,152,339.8,99.71,91.71,67.21,1462.904,251891.766,146.5149303,210604,268273,99.1,104.7,104.2,7847.896,3142.203,8866.227,17181.636,102.5,81.8,114.3,796.9300727,200.3748101,380.133049,1.7391,65.82715198,0.070138378,423261828,261584117.8,1610840795,60697.61905,221,151503.2088
2/1/2012,163.1906661,135.65,93.6,89.4,89.9,98.4,82,89.2,93.6,83.9,87.9,81.8,80,85.5,93.7,9705,6608,15059,42758,2145.29071,40454.80829,92.22,151.73,140.81,308.71,108.62,99.43,81.13,1572.5516,247366.5698,144.600713,219068,249517,99.8,102.7,104.8,7866.192,3172.444,8860.315,17287.534,101.7,81.3,110.2,906.4810873,201.2163843,379.9429825,1.7092,65.35221156,0.075605042,425054072,258715120.4,1617431930,65483.21053,194,109058.5755
3/1/2012,163.1906661,147.2,98.6,99.8,97.5,112.7,104.7,99.2,102.8,92.5,107.9,94.2,90.1,89.7,100.6,10271,7037,15579,46170,2975.43512,43119.58625,105.33,172.54,159.03,360.33,144.36,88.86,84,2939.1627,284092.8149,167.8831318,313178,300574,102.4,98.8,109.2,7861.537,3211.092,8866.817,17373.215,107.9,82.2,126.9,963.9180244,201.7797902,381.1208057,1.8221,62.62005378,0.079408768,429860852,260159107.3,1634442683,66612.27273,176,124755.2122
4/1/2012,167.9709163,140.24,96.2,92.3,92.5,97.5,92.8,91.2,95,87.8,91.5,86.2,86.5,84.7,96.4,9928,6856,15530,42800,4240.92286,38337.79226,96.78,168.79,148.03,330.26,137.93,80.55,73.55,2988.532,264387.5591,152.9723257,266275,257887,103,96.3,110.9,7890.295,3254.514,8901.628,17457.549,112,83.1,129,904.2678663,202.8088671,386.1516003,1.8918,60.15435035,0.077488965,434077045,261455903.6,1629994080,62579,186,133801.8741
5/1/2012,167.9709163,145.29,104.3,102.2,102.9,106.7,102.2,99.6,103,91.7,106.9,95,92.1,89.7,97.1,9532,6417,15264,42285,4271.15659,37880.19622,114.5,184.89,166.85,356.23,161.11,110.51,83.59,4523.5325,291392.5989,164.6208958,286215,287465,101.9,94.3,110.4,7909.658,3270.233,8911.479,17504.991,110.9,83,131.4,947.3457689,203.7417879,389.9745012,2.0223,57.1626366,0.076076898,442527440,262128228.6,1654328934,57135.63636,243,116638.9752
6/1/2012,167.9709163,143.82,100.5,98,100.1,96.8,96.7,94.4,97.7,90.2,120.6,89.3,89.5,89,96.9,9605,6282,15159,40399,3464.828436,36853.32713,97.55,173.36,153.14,275.99,130.54,91.73,77.21,3165.3694,278680.6437,156.1953334,277722,353200,101,98.4,107.8,7919.286,3275.793,8923.256,17533.896,108.3,82.3,129,956.7877805,204.5567551,393.3282819,2.0213,57.01281354,0.075175097,449801588,268432209.7,1677832923,54664.8,213,121612.5772
7/1/2012,173.6256123,148.66,103.9,104.6,106,103.5,101.3,102.2,102.3,91.4,117,95.9,92.2,88.3,100.4,9274,6033,15214,41270,2734.64391,38557.70913,107.71,172.18,160.41,324.7,141.66,116.02,83.5,3196.9057,278234.1116,162.4677955,301142,364196,100.8,91.4,105.8,7943.565,3302.577,8946.616,17574.407,111.6,82.9,132.3,969.8256061,205.3749821,397.1828991,2.0499,60.39318991,0.074339333,460241954,268646728.8,1687274531,54616.61905,183,125529.2326
