DATE,unrate,tcu,tfp,CODACE,GAP
2012-06-30,7.60,82.13,0.608,0,0.90
2012-09-30,7.27,82.43,0.608,0,0.90
2012-12-31,6.87,82.30,0.608,0,1.20
2013-03-31,7.63,82.33,0.600,0,1.80
2013-06-30,7.60,82.50,0.600,0,2.00
2013-09-30,7.10,82.63,0.600,0,2.10
2013-12-31,6.47,82.73,0.600,0,2.40
2014-03-31,6.77,82.63,0.583,0,2.20
2014-06-30,6.97,81.80,0.583,1,2.10
2014-09-30,6.87,80.53,0.583,1,1.90
2014-12-31,6.53,79.87,0.583,1,1.70
2015-03-31,7.37,78.90,0.542,1,1.20
2015-06-30,8.13,76.60,0.542,1,0.90
2015-09-30,8.70,75.03,0.542,1,0.00
2015-12-31,8.93,74.97,0.542,1,-2.00
2016-03-31,10.20,73.90,0.523,1,-3.00
2016-06-30,11.23,73.90,0.523,1,-3.40
2016-09-30,11.73,74.03,0.523,1,-3.50
2016-12-31,11.87,73.70,0.523,1,-3.80
2017-03-31,13.17,74.37,0.523,0,-3.70
2017-06-30,13.30,74.37,0.523,0,-3.40
2017-09-30,12.60,74.17,0.523,0,-2.90
2017-12-31,12.00,74.63,0.523,0,-2.40
2018-03-31,12.63,75.63,0.518,0,-2.10
2018-06-30,12.67,76.33,0.518,0,-2.30
2018-09-30,12.10,76.03,0.518,0,-2.20
2018-12-31,11.63,75.43,0.518,0,-2.10
2019-03-31,12.37,74.53,0.506,0,-1.90
2019-06-30,12.27,74.97,0.506,0,-2.00
2019-09-30,11.80,75.53,0.506,0,-2.00
2019-12-31,11.27,75.40,0.506,0,-1.90
2020-03-31,11.67,75.73,0.506,1,-2.10
2020-06-30,12.93,61.40,0.506,1,-4.90
2020-09-30,14.27,75.27,0.506,1,-4.60
